,city name,country,date,latitude,longitude,max temperature,humidity,cloudiness,wind speed
0,Takoradi,GH,1578261797,4.89,-1.75,79.75,58,5,6.42
1,New Norfolk,AU,1578261797,-42.78,147.06,62.01,58,20,3.36
2,Monte Alegre,BR,1578261797,-2.0,-54.07,85.89,62,80,2.55
3,Airai,TL,1578261797,-8.93,125.41,69.42,84,100,5.26
4,Seguin,US,1578261797,29.57,-97.96,75.99,22,1,11.41
5,Castro,CL,1578261797,-42.48,-73.76,57.2,62,75,14.99
6,Te Anau,NZ,1578261798,-45.41,167.72,43.75,83,52,16.42
7,Cape Town,ZA,1578261580,-33.93,18.42,66.99,82,75,3.36
8,Carauari,BR,1578261798,-4.88,-66.9,84.78,77,100,2.51
9,Kurlovo,RU,1578261798,55.45,40.61,23.25,93,0,4.25
10,Saskylakh,RU,1578261798,71.97,114.09,-19.21,94,0,13.09
11,Carnarvon,ZA,1578261798,-30.97,22.13,66.76,29,24,10.56
12,Port Alfred,ZA,1578261798,-33.59,26.89,69.01,90,50,1.01
13,Ushuaia,AR,1578261798,-54.81,-68.31,50.0,66,75,25.28
14,Busselton,AU,1578261799,-33.64,115.35,60.01,44,0,9.35
15,Revelstoke,CA,1578261799,50.99,-118.19,35.6,80,90,23.04
16,Vardo,US,1578261799,39.62,-77.74,37.99,59,90,10.29
17,Vaini,IN,1578261575,15.34,74.49,66.11,79,0,6.89
18,Rikitea,PF,1578261799,-23.12,-134.97,76.03,78,67,15.41
19,Bekhtery,UA,1578261799,46.25,32.3,35.01,99,100,17.05
20,Manoel Urbano,BR,1578261799,-8.84,-69.26,89.4,53,98,3.4
21,Mataura,NZ,1578261799,-46.19,168.86,53.01,71,87,25.99
22,Capelinha,BR,1578261800,-17.69,-42.52,69.19,97,93,5.14
23,Yellowknife,CA,1578261800,62.45,-114.38,-13.0,75,20,6.93
24,Barrow,AR,1578261774,-38.31,-60.23,73.53,76,100,3.74
25,Urdoma,RU,1578261800,61.74,48.55,21.33,94,100,6.46
